,AREA,SALE_COND,PARK_FACIL,BUILDTYPE,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,LOG_PRICE
0,Karapakkam,AbNormal,Yes,Commercial,Paved,A,44,1004,131,1.0,1.0,3,15.910382437299468
1,Anna Nagar,AbNormal,No,Commercial,Gravel,RH,11,1986,26,2.0,1.0,5,16.94147871867479
2,Adyar,AbNormal,Yes,Commercial,Gravel,RL,20,909,70,1.0,1.0,3,16.430890345345173
3,Velachery,Family,No,Others,Paved,I,22,1855,14,3.0,2.0,5,16.12444077799566
4,Karapakkam,AbNormal,Yes,Others,Gravel,C,30,1226,84,1.0,1.0,3,15.858976804420246
5,Chrompet,Partial,No,Commercial,NoAccess,RH,5,1220,36,2.0,1.0,4,16.380620902466703
6,Chrompet,Partial,No,Others,NoAccess,RL,28,1167,137,1.0,1.0,3,15.98865838025315
7,Velachery,Family,No,Commercial,Gravel,RM,10,1847,176,3.0,2.0,5,16.68569451772883
8,Chrompet,AdjLand,No,Others,Paved,RM,34,771,175,1.0,1.0,2,15.967247644629248
9,Velachery,AbNormal,No,Others,NoAccess,I,15,1635,74,2.0,1.0,4,15.958894857412423
10,Chrompet,AdjLand,Yes,Commercial,NoAccess,RM,28,1203,78,2.0,1.0,4,16.55382028661648
11,Chrompet,Partial,No,Others,Gravel,RM,37,1054,143,1.0,1.0,3,16.10167852438188
12,Chrompet,Family,No,Others,NoAccess,RL,19,1196,137,1.0,1.0,3,16.02367738328209
13,Adyar,Partial,Yes,Others,Paved,RH,26,1056,83,1.0,1.0,3,16.09207780313151
14,Velachery,Family,No,Commercial,Paved,RM,54,1865,157,3.0,2.0,5,16.61365499582358
16,Karapakkam,Normal Sale,Yes,House,Gravel,I,18,1639,175,2.0,2.0,4,16.014905223399573
17,Chrompet,AdjLand,Yes,Commercial,NoAccess,RL,36,796,134,1.0,1.0,2,16.245605890266617
18,Adyar,Normal Sale,Yes,Others,Paved,A,30,1136,69,1.0,1.0,3,15.974281745457146
19,Anna Nagar,Family,Yes,Commercial,Paved,RL,42,1902,168,2.0,1.0,5,16.913681407465006
20,Chrompet,AbNormal,Yes,Others,Paved,RM,4,1069,53,1.0,1.0,3,16.234339369139892
21,Chrompet,AbNormal,Yes,Others,Paved,RL,22,931,96,1.0,1.0,3,16.062746669695674
22,KK Nagar,Partial,No,Others,Gravel,RH,10,2010,114,3.0,2.0,5,16.259193396403337
23,Chrompet,AbNormal,No,Others,Gravel,RL,16,1074,100,1.0,1.0,3,16.118380310438965
24,TNagar,AdjLand,No,Others,NoAccess,RH,5,1972,111,2.0,1.0,5,16.494964420175126
25,TNagar,Family,No,House,Gravel,RM,34,1685,105,1.0,1.0,4,16.39043499844789
26,Adyar,Family,Yes,Commercial,Paved,RH,30,1130,29,1.0,1.0,3,16.447780620390496
27,Karapakkam,Normal Sale,Yes,Others,Gravel,C,7,1301,59,1.0,1.0,3,15.939969082882426
28,Adyar,AdjLand,Yes,House,Gravel,RL,39,730,185,1.0,1.0,2,16.03110143745776
29,TNagar,Family,No,House,Paved,RH,35,1806,138,2.0,1.0,5,16.290571733068173
30,Anna Nagar,AdjLand,No,House,NoAccess,RL,9,1981,173,2.0,1.0,5,16.415571680651414
31,Adyar,Normal Sale,No,Others,Gravel,RL,10,868,15,1.0,1.0,3,16.060455944845234
32,TNagar,AdjLand,Yes,Others,Paved,RM,20,1721,117,1.0,1.0,4,16.55725204641595
33,Velachery,AdjLand,Yes,Others,Gravel,A,19,1755,16,2.0,1.0,4,16.18601884387642
34,Anna Nagar,Family,No,Others,Gravel,RH,6,1709,130,1.0,1.0,4,16.416093655739736
35,KK Nagar,AdjLand,Yes,Commercial,Gravel,RH,21,2114,46,3.0,2.0,5,16.732101729775923
36,Karapakkam,Normal Sale,No,House,Paved,A,27,1226,180,1.0,1.0,3,15.47177442104856
37,Velachery,Family,Yes,Others,Paved,C,13,1648,111,2.0,1.0,4,16.069778554874535
38,Chrompet,AdjLand,Yes,Others,Gravel,RM,26,856,36,1.0,1.0,3,16.19686274538311
39,Adyar,AdjLand,No,Commercial,NoAccess,RM,40,904,52,1.0,1.0,3,16.298135022213472
40,Chrompet,Normal Sale,No,Others,NoAccess,RH,36,1198,105,1.0,1.0,3,15.967735212416233
41,Karapakkam,AdjLand,No,Commercial,Paved,A,18,931,16,1.0,1.0,3,15.817373863082064
42,Karapakkam,AdjLand,Yes,House,Paved,RH,48,1290,86,1.0,1.0,3,15.919883098452376
43,Karapakkam,AbNormal,Yes,House,Gravel,RH,46,507,49,1.0,1.0,2,15.616311694510719
44,KK Nagar,AbNormal,No,Commercial,Paved,RL,16,2492,113,4.0,2.0,6,16.804609680734707
45,Karapakkam,Partial,No,House,NoAccess,C,29,851,105,1.0,1.0,2,15.14508667306203
47,Anna Nagar,Normal Sale,Yes,Commercial,Gravel,RH,11,1710,15,1.0,1.0,4,16.868867050742928
48,Karapakkam,AdjLand,No,House,Gravel,RL,28,1412,28,2.0,2.0,4,15.992882366747262
49,Adyar,Normal Sale,No,House,NoAccess,C,9,779,51,1.0,1.0,2,15.522590837629114
50,TNagar,AbNormal,No,Others,Gravel,RH,34,1655,19,1.0,1.0,4,16.3929833230226
51,Karapakkam,AdjLand,No,House,Paved,RH,49,940,167,1.0,1.0,3,15.63776431406175
52,KK Nagar,Partial,Yes,House,Paved,RM,5,1667,126,2.0,1.0,4,16.245851283446605
53,KK Nagar,Family,Yes,Commercial,Paved,RM,9,1926,49,3.0,2.0,5,16.7045573273396
54,Adyar,Partial,Yes,Others,NoAccess,C,30,718,75,1.0,1.0,2,15.579798277207972
55,Karapakkam,Partial,No,Others,NoAccess,RH,30,545,154,1.0,1.0,2,15.228632811317098
56,Karapakkam,AdjLand,Yes,Others,Gravel,RH,36,1249,25,1.0,1.0,3,16.016418676059885
57,TNagar,Partial,Yes,House,Gravel,RL,45,1894,187,2.0,1.0,5,16.462983731950736
58,Karapakkam,AbNormal,No,Commercial,NoAccess,C,5,1469,200,2.0,2.0,4,16.10783357551786
59,Adyar,Normal Sale,Yes,House,NoAccess,A,28,916,32,1.0,1.0,3,15.623629314691902
60,Chrompet,AdjLand,Yes,House,Paved,RM,22,934,11,1.0,1.0,3,16.126055288825068
61,Karapakkam,AbNormal,No,House,Gravel,RM,31,1691,100,2.0,2.0,4,16.10773051808669
62,Karapakkam,Normal Sale,No,Commercial,Paved,I,39,1236,36,1.0,1.0,3,16.04071437353529
63,TNagar,Partial,Yes,Others,Paved,RH,36,1577,23,1.0,1.0,4,16.347850102041175
64,Anna Nagar,Partial,Yes,Others,Gravel,RH,41,1915,13,2.0,1.0,5,16.50336607892763
65,Anna Nagar,Family,Yes,House,Gravel,RH,21,1600,154,1.0,1.0,4,16.333017657806664
66,Velachery,AbNormal,Yes,Commercial,Paved,I,24,1579,58,2.0,1.0,4,16.45977296051063
67,Adyar,Partial,No,Others,NoAccess,A,25,1260,89,2.0,2.0,4,15.7914980987648
68,Adyar,Normal Sale,No,Commercial,Paved,I,5,1021,176,1.0,1.0,3,16.31777739393176
69,KK Nagar,Family,Yes,Others,Paved,RM,23,2174,48,3.0,2.0,5,16.449723529745793
71,Adyar,AbNormal,Yes,Commercial,Gravel,I,5,668,177,1.0,1.0,2,16.187200449514535
72,Velachery,AbNormal,Yes,House,NoAccess,RL,54,1724,116,2.0,1.0,4,16.063322519480938
73,Adyar,AbNormal,Yes,House,Paved,C,30,890,116,1.0,1.0,3,15.828014837158843
74,Adyar,Normal Sale,No,Commercial,NoAccess,I,30,1218,51,2.0,2.0,4,16.387391146541102
75,Anna Nagar,Family,Yes,House,Gravel,RM,21,1792,41,1.0,1.0,4,16.501391152684203
76,Karapakkam,AdjLand,No,Others,Gravel,RM,9,1378,192,2.0,2.0,4,16.159553571234923
77,Karapakkam,Partial,Yes,Commercial,Paved,RH,29,898,72,1.0,1.0,3,16.033700920289068
78,Anna Nagar,Partial,No,House,NoAccess,RH,10,1928,148,2.0,1.0,5,16.320116480034304
79,Chrompet,AbNormal,No,House,Gravel,RM,33,1233,24,2.0,1.0,4,16.135008617005965
80,Velachery,AdjLand,Yes,Others,Paved,C,40,1618,100,2.0,1.0,4,16.090334141617834
81,Karapakkam,Family,No,House,Gravel,RM,28,627,49,1.0,1.0,2,15.747568057730605
82,Velachery,Family,No,House,Gravel,RM,28,1563,43,2.0,1.0,4,16.147569692326208
83,Karapakkam,Normal Sale,Yes,Commercial,Gravel,C,6,1693,187,2.0,2.0,4,16.407174122990234
84,TNagar,Partial,No,Commercial,Gravel,RL,43,1522,85,1.0,1.0,4,16.71336734412425
85,Adyar,Partial,Yes,Others,Gravel,RH,28,1090,171,1.0,1.0,3,16.14807921734373
87,TNagar,AbNormal,No,Others,Paved,RH,13,1687,73,1.0,1.0,4,16.389121144609536
88,Adyar,Normal Sale,Yes,Commercial,Paved,RH,37,692,62,1.0,1.0,2,16.204312062046274
89,TNagar,Family,Yes,Commercial,Paved,RH,37,1518,145,1.0,1.0,4,16.717824501037956
90,Adyar,Partial,No,Commercial,Paved,I,25,1025,125,1.0,1.0,3,16.251484633443
91,KK Nagar,Family,Yes,House,Gravel,RL,8,2170,121,3.0,2.0,5,16.39955218489691
92,Chrompet,Family,Yes,Commercial,NoAccess,RH,17,969,70,1.0,1.0,3,16.277868809274217
93,KK Nagar,AbNormal,No,Commercial,Gravel,RM,27,1546,129,2.0,1.0,4,16.511827256640792
94,KK Nagar,AbNormal,Yes,House,Paved,RL,20,1709,6,2.0,1.0,4,16.20075174077201
95,TNagar,AdjLand,Yes,Others,NoAccess,RL,18,1659,103,1.0,1.0,4,16.467974473490916
96,Chrompet,Normal Sale,No,Commercial,Gravel,RM,33,755,8,1.0,1.0,2,16.218873582598754
97,Adyar,Normal Sale,Yes,House,NoAccess,RL,17,1182,50,1.0,1.0,3,16.145853901139624
98,Adyar,AdjLand,No,Commercial,NoAccess,RH,14,735,67,1.0,1.0,2,16.107618254230335
99,Chrompet,Normal Sale,Yes,House,Paved,RL,32,1089,0,1.0,1.0,3,16.048826598479767
100,Velachery,Partial,Yes,Others,Paved,C,53,1534,6,2.0,1.0,4,15.925965668442188
101,Anna Nagar,Family,Yes,House,Gravel,RL,5,1622,147,1.0,1.0,4,16.42934567942104
102,KK Nagar,Partial,Yes,Others,Gravel,RM,21,2198,71,3.0,2.0,5,16.481800407760506
103,Chrompet,Normal Sale,No,Commercial,NoAccess,RL,39,1293,34,2.0,1.0,4,16.43240677696105
104,KK Nagar,Partial,No,Others,Gravel,RL,29,1641,178,2.0,1.0,4,16.18232965698587
105,Velachery,AdjLand,Yes,Others,Paved,RL,41,1950,185,3.0,2.0,5,16.34938687961876
106,Karapakkam,Partial,No,Others,Paved,A,28,1245,106,1.0,1.0,3,15.470524140279142
107,Chrompet,Family,No,Others,Gravel,RH,33,905,144,1.0,1.0,3,15.89540512201398
108,KK Nagar,Family,No,House,Gravel,RH,14,1496,135,2.0,1.0,4,16.009599780764983
109,Velachery,AdjLand,Yes,House,Gravel,RM,36,1892,38,3.0,2.0,5,16.35944510450106
110,Velachery,Family,No,Commercial,Paved,C,11,1517,40,2.0,1.0,4,16.31668770572482
112,Velachery,Family,Yes,Commercial,Gravel,I,35,1755,142,2.0,1.0,4,16.568631443109382
113,Anna Nagar,AdjLand,Yes,House,Paved,RM,7,1622,79,1.0,1.0,4,16.46861758389021
114,Chrompet,Normal Sale,No,Others,NoAccess,RH,4,1092,89,1.0,1.0,3,15.957565565927002
115,Chrompet,AdjLand,No,House,Paved,RH,8,821,34,1.0,1.0,3,15.837367477343179
116,KK Nagar,Family,No,Others,Gravel,RL,11,1694,72,2.0,1.0,4,16.200457912539335
117,Anna Nagar,Family,No,Commercial,NoAccess,RL,26,1809,177,2.0,1.0,5,16.809037251012803
118,Karapakkam,Partial,Yes,Others,Gravel,RL,14,1401,20,2.0,2.0,4,16.179478197242133
119,Karapakkam,AbNormal,No,Others,NoAccess,RH,25,1470,99,2.0,2.0,4,15.854476659650231
120,Chrompet,Partial,No,Commercial,Paved,RH,37,798,166,1.0,1.0,2,16.063602928063954
121,Chrompet,Partial,No,House,NoAccess,RH,8,764,137,1.0,1.0,2,15.593794471696457
122,Chrompet,AbNormal,No,Others,NoAccess,RM,23,1135,50,1.0,1.0,3,16.08736351963535
123,Karapakkam,AbNormal,No,House,NoAccess,I,38,939,74,1.0,1.0,3,15.330054324040132
124,Karapakkam,Normal Sale,Yes,Commercial,Gravel,RM,28,1586,59,2.0,2.0,4,16.530429117796082
125,TNagar,Family,Yes,Commercial,Gravel,RM,35,1973,63,2.0,1.0,5,17.0063654786193
126,Chrompet,Partial,Yes,House,Paved,RM,17,1023,44,1.0,1.0,3,16.12372080009968
127,Chrompet,Normal Sale,No,Commercial,NoAccess,RM,4,884,75,1.0,1.0,3,16.272116836687292
128,Anna Nagar,AdjLand,No,Commercial,NoAccess,RH,5,1640,113,1.0,1.0,4,16.727424333678893
129,Adyar,Normal Sale,No,Others,NoAccess,RL,20,622,60,1.0,1.0,2,15.741525241128324
130,Anna Nagar,Partial,Yes,House,NoAccess,RM,16,1880,90,2.0,1.0,5,16.46317481293141
131,KK Nagar,AbNormal,No,Others,Paved,RM,9,2413,166,4.0,2.0,6,16.433820717200092
132,TNagar,AdjLand,No,Commercial,Gravel,RH,25,1649,169,1.0,1.0,4,16.797881109982992
133,Velachery,Partial,Yes,Commercial,Paved,A,41,1729,144,2.0,1.0,4,16.405416433152634
135,Chrompet,AdjLand,Yes,Others,NoAccess,RL,12,711,116,1.0,1.0,2,15.939474837956976
136,Chrompet,Family,No,House,NoAccess,RM,32,885,122,1.0,1.0,3,15.835724915019837
137,KK Nagar,AbNormal,Yes,House,Gravel,RM,15,1688,148,2.0,1.0,4,16.320695865518818
138,Adyar,Family,No,Commercial,Gravel,A,37,1236,108,2.0,2.0,4,16.344501076571543
139,Karapakkam,Family,No,House,Gravel,RL,20,926,98,1.0,1.0,3,15.794386182617492
140,KK Nagar,AbNormal,No,Others,Paved,RM,24,1686,57,2.0,1.0,4,16.206637431283134
141,Karapakkam,AdjLand,No,Commercial,Gravel,RH,50,1344,129,2.0,2.0,4,16.25984926082031
142,KK Nagar,Family,No,Others,Gravel,RM,23,1437,104,2.0,1.0,4,16.194337452021827
144,Adyar,Family,No,House,NoAccess,C,30,1081,85,1.0,1.0,3,15.677690590153734
145,Karapakkam,Normal Sale,Yes,House,Gravel,A,27,1352,1,2.0,2.0,4,15.742915683186057
146,KK Nagar,Normal Sale,No,House,Gravel,RM,30,1986,109,3.0,2.0,5,16.304917482973018
147,Anna Nagar,Partial,Yes,Commercial,NoAccess,RL,42,1758,164,1.0,1.0,4,16.82270345694577
148,Karapakkam,Normal Sale,No,Others,Gravel,RL,46,607,121,1.0,1.0,2,15.631874343201746
149,KK Nagar,Normal Sale,Yes,Others,Paved,RL,21,2139,136,3.0,2.0,5,16.39158913983892
150,KK Nagar,Partial,No,Others,Paved,RH,27,1488,97,2.0,1.0,4,16.018244044468936
151,Velachery,Partial,No,House,NoAccess,RH,26,1645,96,2.0,1.0,4,15.88303525021014
152,Chrompet,Normal Sale,Yes,Others,Gravel,RL,26,950,177,1.0,1.0,3,16.135801670142232
153,Chrompet,Partial,Yes,Commercial,Gravel,RH,4,928,90,1.0,1.0,3,16.372420299532106
154,Velachery,Normal Sale,Yes,Commercial,Paved,RM,53,1693,145,2.0,1.0,4,16.601050364191757
155,Velachery,Family,Yes,Others,NoAccess,RL,21,1873,0,3.0,2.0,5,16.265170441335997
156,Adyar,Partial,No,Others,Paved,RL,10,721,145,1.0,1.0,2,15.887448266174202
157,Karapakkam,Family,Yes,House,Gravel,RH,29,1190,37,1.0,1.0,3,15.9482377392432
158,KK Nagar,Partial,No,Others,Paved,RH,17,1593,9,2.0,1.0,4,16.074465132892065
159,Chrompet,AbNormal,Yes,Others,Gravel,RL,12,786,181,1.0,1.0,2,16.074941042174174
160,Chrompet,AdjLand,No,Others,Paved,RL,19,1195,93,1.0,1.0,3,16.129653402090312
162,KK Nagar,AbNormal,Yes,Commercial,Paved,RH,7,1906,81,3.0,2.0,5,16.639948035919396
163,Adyar,AbNormal,No,Commercial,Paved,I,9,656,20,1.0,1.0,2,16.02945327188034
164,Chrompet,AbNormal,No,Others,Gravel,RM,16,727,84,1.0,1.0,2,15.982939853988867
165,Adyar,Family,Yes,Others,Paved,RM,33,931,37,1.0,1.0,3,16.14989301371377
166,Velachery,AdjLand,Yes,Commercial,NoAccess,RM,38,1898,108,3.0,2.0,5,16.679529328388053
167,Anna Nagar,Family,No,House,Gravel,RM,40,1698,15,1.0,1.0,4,16.37819519904435
168,TNagar,AdjLand,Yes,Commercial,NoAccess,RM,17,1926,193,2.0,1.0,5,16.97114280955456
169,Karapakkam,Partial,Yes,Commercial,Paved,A,38,1481,144,2.0,2.0,4,16.17304783842521
170,Anna Nagar,Family,No,House,NoAccess,RM,33,1506,122,1.0,1.0,4,16.217538552021196
171,Chrompet,Family,No,House,NoAccess,RM,24,1020,95,1.0,1.0,3,15.918065172735592
172,Chrompet,AbNormal,No,Others,Gravel,RM,21,889,196,1.0,1.0,3,16.070523424801184
173,Chrompet,Family,Yes,House,Paved,RH,35,1015,147,1.0,1.0,3,15.977097249482567
174,TNagar,AbNormal,No,Commercial,Gravel,RH,35,1682,78,1.0,1.0,4,16.78411985673881
175,Chrompet,Family,No,Others,NoAccess,RM,18,869,39,1.0,1.0,3,15.959360846736393
176,Karapakkam,Family,No,House,NoAccess,I,24,1445,20,2.0,2.0,4,15.633755990117884
177,Anna Nagar,Partial,Yes,House,Gravel,RM,13,1919,178,2.0,1.0,5,16.54765787731212
178,Adyar,Normal Sale,Yes,Commercial,Paved,C,36,1243,141,2.0,2.0,4,16.442210129769574
179,Karapakkam,Normal Sale,No,House,Paved,I,17,857,158,1.0,1.0,2,15.4687634215522
180,Karapakkam,AdjLand,Yes,Others,Gravel,I,48,1055,174,1.0,1.0,3,15.851383628674549
181,KK Nagar,Family,No,Others,Gravel,RL,8,1778,94,3.0,2.0,5,16.25726994243964
182,Karapakkam,AdjLand,No,Others,Paved,A,41,851,124,1.0,1.0,2,15.24025899229028
183,Chrompet,Partial,Yes,Others,NoAccess,RL,4,1021,82,1.0,1.0,3,16.079879736825383
184,KK Nagar,AbNormal,Yes,Commercial,Paved,RL,22,2203,76,3.0,2.0,5,16.749563897860373
185,Karapakkam,Family,No,Commercial,NoAccess,I,30,613,81,1.0,1.0,2,15.503180925167765
187,Karapakkam,AdjLand,No,House,Gravel,RH,29,1489,177,2.0,2.0,4,15.966316373798486
188,Karapakkam,AbNormal,Yes,House,Gravel,RM,9,795,73,1.0,1.0,2,15.997149530519597
189,Velachery,Family,Yes,Others,Gravel,A,33,1909,11,3.0,2.0,5,16.180671027638162
190,Chrompet,Family,No,House,NoAccess,RM,12,1252,190,2.0,1.0,4,16.097394145792446
191,Karapakkam,AbNormal,No,Commercial,Paved,RM,33,1077,144,1.0,1.0,3,16.157140194748536
192,KK Nagar,Normal Sale,No,Others,Paved,RH,27,1524,73,2.0,1.0,4,16.033375537926556
193,Chrompet,Partial,Yes,House,Gravel,RM,11,1049,36,1.0,1.0,3,16.18801902272891
194,Velachery,AbNormal,No,Others,Gravel,C,55,1780,194,2.0,1.0,4,16.027143720174678
